case_folding,cleaned,normalization,tokenize,remove_stopwords,text_string_lemma,sentimen
mantaps,mantaps,mantap,['mantap'],['mantap'],mantap,positif
bagus tipe kulitku berminyak tipe kulitku kombinasi masalah kulitku pori besar masalah kulitku jerawat,bagus tipe kulitku berminyak tipe kulitku kombinasi masalah kulitku pori besar masalah kulitku jerawat,bagus tipe kulitku berminyak tipe kulitku kombinasi masalah kulitku pori besar masalah kulitku jerawat,"['bagus', 'tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'pori', 'besar', 'masalah', 'kulitku', 'jerawat']","['bagus', 'tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'pori', 'besar', 'masalah', 'kulitku', 'jerawat']",bagus tipe kulitku berminyak tipe kulitku kombinasi masalah kulitku pori besar masalah kulitku jerawat,negatif
baru sampai dan nyoba dikit tadi. so far melembabkan meski agak lama menyerapnya tapi mudah-mudahan cocok,baru sampai dan nyoba dikit tadi so far melembabkan meski agak lama menyerapnya tapi mudah mudahan cocok,baru sampai dan mencoba dikit tadi so far melembabkan meski agak lama menyerapnya tapi mudah mudahan cocok,"['baru', 'sampai', 'dan', 'mencoba', 'dikit', 'tadi', 'so', 'far', 'melembabkan', 'meski', 'agak', 'lama', 'menyerapnya', 'tapi', 'mudah', 'mudahan', 'cocok']","['baru', 'mencoba', 'dikit', 'tadi', 'so', 'far', 'melembabkan', 'meski', 'lama', 'menyerapnya', 'mudah', 'mudahan', 'cocok']",baru mencoba dikit tadi so far melembabkan meski lama menyerapnya mudah mudahan cocok,positif
tipe kulitku berminyak bagus ni buat yg kulit berminyak gentle moisturizer,tipe kulitku berminyak bagus ni buat yg kulit berminyak gentle moisturizer,tipe kulitku berminyak bagus nih buat yang kulit berminyak gentle moisturizer,"['tipe', 'kulitku', 'berminyak', 'bagus', 'nih', 'buat', 'yang', 'kulit', 'berminyak', 'gentle', 'moisturizer']","['tipe', 'kulitku', 'berminyak', 'bagus', 'nih', 'buat', 'kulit', 'berminyak', 'gentle', 'moisturizer']",tipe kulitku berminyak bagus nih buat kulit berminyak gentle moisturizer,positif
"sebenarnya suka yg awal skin game acnewarior totol jerawatnya,pakem banget wadahnya flexible,banyak muatan,awet pula dan gamudah rontok krimnya di totolin diwajah,suka yg...",sebenarnya suka yg awal skin game acnewarior totol jerawatnya pakem banget wadahnya flexible banyak muatan awet pula dan gamudah rontok krimnya di totolin diwajah suka yg,sebenarnya suka yang awal skin game acnewarior totol jerawatnya pakem banget wadahnya flexible banyak muatan awet pula dan gamudah rontok krimnya di totolin diwajah suka yang,"['sebenarnya', 'suka', 'yang', 'awal', 'skin', 'game', 'acnewarior', 'totol', 'jerawatnya', 'pakem', 'banget', 'wadahnya', 'flexible', 'banyak', 'muatan', 'awet', 'pula', 'dan', 'gamudah', 'rontok', 'krimnya', 'di', 'totolin', 'diwajah', 'suka', 'yang']","['sebenarnya', 'suka', 'awal', 'skin', 'game', 'acnewarior', 'totol', 'jerawatnya', 'pakem', 'banget', 'wadahnya', 'flexible', 'banyak', 'muatan', 'awet', 'gamudah', 'rontok', 'krimnya', 'totolin', 'diwajah', 'suka']",sebenarnya suka awal skin game acnewarior totol jerawatnya pakem banget wadahnya flexible banyak muatan awet gamudah rontok krimnya totolin diwajah suka,positif
"cocok banget sama akuu, jerawat cepet kempesssss",cocok banget sama akuu jerawat cepet kempesssss,cocok banget sama aku jerawat cepat kempesssss,"['cocok', 'banget', 'sama', 'aku', 'jerawat', 'cepat', 'kempesssss']","['cocok', 'banget', 'sama', 'aku', 'jerawat', 'cepat', 'kempesssss']",cocok banget sama aku jerawat cepat kempesssss,positif
"barang sampai dengan baik, pengiriman cepat, olshop terpercaya👍🏻",barang sampai dengan baik pengiriman cepat olshop terpercaya,barang sampai dengan baik pengiriman cepat olshop terpercaya,"['barang', 'sampai', 'dengan', 'baik', 'pengiriman', 'cepat', 'olshop', 'terpercaya']","['barang', 'baik', 'pengiriman', 'cepat', 'olshop', 'terpercaya']",barang baik pengiriman cepat olshop terpercaya,positif
"masalah kulitku jerawat tipe kulitku sensitif masalah kulitku pori besar

semoga cocok dan bikin kulitku jadi kembali sehat, aamiin💞💞",masalah kulitku jerawat tipe kulitku sensitif masalah kulitku pori besar semoga cocok dan bikin kulitku jadi kembali sehat aamiin,masalah kulitku jerawat tipe kulitku sensitif masalah kulitku pori besar semoga cocok dan bikin kulitku jadi kembali sehat amin,"['masalah', 'kulitku', 'jerawat', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'pori', 'besar', 'semoga', 'cocok', 'dan', 'bikin', 'kulitku', 'jadi', 'kembali', 'sehat', 'amin']","['masalah', 'kulitku', 'jerawat', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'pori', 'besar', 'semoga', 'cocok', 'bikin', 'kulitku', 'jadi', 'sehat', 'amin']",masalah kulitku jerawat tipe kulitku sensitif masalah kulitku pori besar semoga cocok bikin kulitku jadi sehat amin,negatif
"baguss, barangnya dah sampe & sejauh ini cocok. semoga cocok di aku. maaf ya blm sempet foto jadi pake foto ini aja",baguss barangnya dah sampe sejauh ini cocok semoga cocok di aku maaf ya blm sempet foto jadi pake foto ini aja,bagus barangnya deh sampai sejauh ini cocok semoga cocok di aku maaf ya belum sempat foto jadi pakai foto ini saja,"['bagus', 'barangnya', 'deh', 'sampai', 'sejauh', 'ini', 'cocok', 'semoga', 'cocok', 'di', 'aku', 'maaf', 'ya', 'belum', 'sempat', 'foto', 'jadi', 'pakai', 'foto', 'ini', 'saja']","['bagus', 'barangnya', 'deh', 'sejauh', 'cocok', 'semoga', 'cocok', 'aku', 'maaf', 'sempat', 'foto', 'jadi', 'pakai', 'foto']",bagus barangnya deh sejauh cocok semoga cocok aku maaf sempat foto jadi pakai foto,positif
tipe kulitku berminyak tipe kulitku sensitif,tipe kulitku berminyak tipe kulitku sensitif,tipe kulitku berminyak tipe kulitku sensitif,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif']",tipe kulitku berminyak tipe kulitku sensitif,negatif
