case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma,sentimen
tipe kulitku berminyak tipe kulitku sensitif,tipe kulitku berminyak tipe kulitku sensitif,tipe kulitku berminyak tipe kulitku sensitif,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif']","['tipe', 'kulit', 'minyak', 'tipe', 'kulit', 'sensitif']",tipe kulit minyak tipe kulit sensitif,negatif
so far so good for daily use,so far so good for daily use,so far so good for daily use,"['so', 'far', 'so', 'good', 'for', 'daily', 'use']","['so', 'far', 'so', 'good', 'for', 'daily', 'use']","['so', 'far', 'so', 'good', 'for', 'daily', 'use']",so far so good for daily use,netral
"tipe kulitku kombinasi, aku baru pake 1x dan belum keliatan hasilnya. tapi semoga cocok ya",tipe kulitku kombinasi aku baru pake dan belum keliatan hasilnya tapi semoga cocok ya,tipe kulitku kombinasi aku baru pakai dan belum kelihatan hasilnya tapi semoga cocok ya,"['tipe', 'kulitku', 'kombinasi', 'aku', 'baru', 'pakai', 'dan', 'belum', 'kelihatan', 'hasilnya', 'tapi', 'semoga', 'cocok', 'ya']","['tipe', 'kulitku', 'kombinasi', 'aku', 'baru', 'pakai', 'belum', 'kelihatan', 'hasilnya', 'semoga', 'cocok']","['tipe', 'kulit', 'kombinasi', 'aku', 'baru', 'pakai', 'belum', 'lihat', 'hasil', 'moga', 'cocok']",tipe kulit kombinasi aku baru pakai belum lihat hasil moga cocok,positif
tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,"['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulit', 'kombinasi', 'masalah', 'kulit', 'jerawat', 'masalah', 'kulit', 'pori', 'besar']",tipe kulit kombinasi masalah kulit jerawat masalah kulit pori besar,negatif
tipe kulitku kering,tipe kulitku kering,tipe kulitku kering,"['tipe', 'kulitku', 'kering']","['tipe', 'kulitku', 'kering']","['tipe', 'kulit', 'kering']",tipe kulit kering,negatif
"belum dicoba, semoga cocok di kulit",belum dicoba semoga cocok di kulit,belum dicoba semoga cocok di kulit,"['belum', 'dicoba', 'semoga', 'cocok', 'di', 'kulit']","['belum', 'dicoba', 'semoga', 'cocok', 'kulit']","['belum', 'coba', 'moga', 'cocok', 'kulit']",belum coba moga cocok kulit,positif
"jd kemarin nyobain yg kecil rupanya cocok, teksturnya ringan mudah di blend tdk whitecast & ga oily setelah di apply lama. bagus bgt, semoga sering diskon hehe🫶🏻",jd kemarin nyobain yg kecil rupanya cocok teksturnya ringan mudah di blend tdk whitecast ga oily setelah di apply lama bagus bgt semoga sering diskon,jadi kemarin mencoba yang kecil rupanya cocok teksturnya ringan mudah di blend tidak whitecast enggak oily setelah di apply lama bagus banget semoga sering diskon,"['jadi', 'kemarin', 'mencoba', 'yang', 'kecil', 'rupanya', 'cocok', 'teksturnya', 'ringan', 'mudah', 'di', 'blend', 'tidak', 'whitecast', 'enggak', 'oily', 'setelah', 'di', 'apply', 'lama', 'bagus', 'banget', 'semoga', 'sering', 'diskon']","['jadi', 'kemarin', 'mencoba', 'kecil', 'rupanya', 'cocok', 'teksturnya', 'ringan', 'mudah', 'blend', 'tidak', 'whitecast', 'enggak', 'oily', 'apply', 'lama', 'bagus', 'banget', 'semoga', 'sering', 'diskon']","['jadi', 'kemarin', 'coba', 'kecil', 'rupa', 'cocok', 'tekstur', 'ringan', 'mudah', 'blend', 'tidak', 'whitecast', 'enggak', 'oily', 'apply', 'lama', 'bagus', 'banget', 'moga', 'sering', 'diskon']",jadi kemarin coba kecil rupa cocok tekstur ringan mudah blend tidak whitecast enggak oily apply lama bagus banget moga sering diskon,positif
semoga manjur buat exfoliasi wajahku,semoga manjur buat exfoliasi wajahku,semoga manjur buat exfoliasi wajahku,"['semoga', 'manjur', 'buat', 'exfoliasi', 'wajahku']","['semoga', 'manjur', 'buat', 'exfoliasi', 'wajahku']","['moga', 'manjur', 'buat', 'exfoliasi', 'wajah']",moga manjur buat exfoliasi wajah,positif
"doesn't smell as nice as other brands, very chemical.",doesn smell as nice as other brands very chemical,doesn smell as nice as other brands very chemical,"['doesn', 'smell', 'as', 'nice', 'as', 'other', 'brands', 'very', 'chemical']","['doesn', 'smell', 'as', 'nice', 'as', 'other', 'brands', 'very', 'chemical']","['doesn', 'smell', 'as', 'nice', 'as', 'other', 'brands', 'very', 'chemical']",doesn smell as nice as other brands very chemical,netral
tipe kulitku normal,tipe kulitku normal,tipe kulitku normal,"['tipe', 'kulitku', 'normal']","['tipe', 'kulitku', 'normal']","['tipe', 'kulit', 'normal']",tipe kulit normal,negatif
