case_folding,cleaned,normalization,tokenize,remove_stopwords,text_string_lemma
tipe kulitku berminyak under tone kulitku netral,tipe kulitku berminyak under tone kulitku netral,tipe kulitku berminyak under tone kulitku netral,"['tipe', 'kulitku', 'berminyak', 'under', 'tone', 'kulitku', 'netral']","['tipe', 'kulitku', 'berminyak', 'under', 'tone', 'kulitku', 'netral']",tipe kulitku berminyak under tone kulitku netral
"under tone kulitku netral tipe kulitku kering, cocok banget pake cushion ini, nyaman, long lasting bgt",under tone kulitku netral tipe kulitku kering cocok banget pake cushion ini nyaman long lasting bgt,under tone kulitku netral tipe kulitku kering cocok banget pakai cushion ini nyaman long lasting banget,"['under', 'tone', 'kulitku', 'netral', 'tipe', 'kulitku', 'kering', 'cocok', 'banget', 'pakai', 'cushion', 'ini', 'nyaman', 'long', 'lasting', 'banget']","['under', 'tone', 'kulitku', 'netral', 'tipe', 'kulitku', 'kering', 'cocok', 'banget', 'pakai', 'cushion', 'nyaman', 'long', 'lasting', 'banget']",under tone kulitku netral tipe kulitku kering cocok banget pakai cushion nyaman long lasting banget
bagus bgtbgt nahan minyak bgt 🥰🥰 shadenya bener bener cocok di aku. dpt potongn harga 2 ini jadi 145an🥰🥰🥰🥰,bagus bgtbgt nahan minyak bgt shadenya bener bener cocok di aku dpt potongn harga ini jadi an,bagus bgtbgt menahan minyak banget shadenya benar benar cocok di aku dapat potongn harga ini jadi an,"['bagus', 'bgtbgt', 'menahan', 'minyak', 'banget', 'shadenya', 'benar', 'benar', 'cocok', 'di', 'aku', 'dapat', 'potongn', 'harga', 'ini', 'jadi', 'an']","['bagus', 'bgtbgt', 'menahan', 'minyak', 'banget', 'shadenya', 'benar', 'benar', 'cocok', 'aku', 'potongn', 'harga', 'jadi', 'an']",bagus bgtbgt menahan minyak banget shadenya benar benar cocok aku potongn harga jadi an
"tipe kulitku normal
cocok pakai ini bagussssss",tipe kulitku normal cocok pakai ini bagussssss,tipe kulitku normal cocok pakai ini bagus,"['tipe', 'kulitku', 'normal', 'cocok', 'pakai', 'ini', 'bagus']","['tipe', 'kulitku', 'normal', 'cocok', 'pakai', 'bagus']",tipe kulitku normal cocok pakai bagus
"jarang banget review produk, ini terpaksa karna gift nya lumayan valuable walaupun sayang banget waktu checkout ada bonus serum niacinamide 1 botol tp kelewat 1 hari udh...",jarang banget review produk ini terpaksa karna gift nya lumayan valuable walaupun sayang banget waktu checkout ada bonus serum niacinamide botol tp kelewat hari udh,jarang banget review produk ini terpaksa karena gift nya lumayan valuable walaupun sayang banget waktu checkout ada bonus serum niacinamide botol tapi kelewat hari sudah,"['jarang', 'banget', 'review', 'produk', 'ini', 'terpaksa', 'karena', 'gift', 'nya', 'lumayan', 'valuable', 'walaupun', 'sayang', 'banget', 'waktu', 'checkout', 'ada', 'bonus', 'serum', 'niacinamide', 'botol', 'tapi', 'kelewat', 'hari', 'sudah']","['jarang', 'banget', 'review', 'produk', 'terpaksa', 'gift', 'nya', 'lumayan', 'valuable', 'walaupun', 'sayang', 'banget', 'waktu', 'checkout', 'bonus', 'serum', 'niacinamide', 'botol', 'kelewat', 'hari']",jarang banget review produk terpaksa gift nya lumayan valuable walaupun sayang banget waktu checkout bonus serum niacinamide botol kelewat hari
suka bgt produknya dan dpt free gift gt .. thank youuuu,suka bgt produknya dan dpt free gift gt thank youuuu,suka banget produknya dan dapat free gift begitu thank youuuu,"['suka', 'banget', 'produknya', 'dan', 'dapat', 'free', 'gift', 'begitu', 'thank', 'youuuu']","['suka', 'banget', 'produknya', 'free', 'gift', 'thank', 'youuuu']",suka banget produknya free gift thank youuuu
bagus bgt!!!! suka banget! coverage mantul,bagus bgt suka banget coverage mantul,bagus banget suka banget coverage mantul,"['bagus', 'banget', 'suka', 'banget', 'coverage', 'mantul']","['bagus', 'banget', 'suka', 'banget', 'coverage', 'mantul']",bagus banget suka banget coverage mantul
"foamnya lembut. baunya enak, ky buah apa ya...pokoknya enak. kulit bersih tanpa ketarik.",foamnya lembut baunya enak ky buah apa ya pokoknya enak kulit bersih tanpa ketarik,foamnya lembut baunya enak kaya buah apa ya pokoknya enak kulit bersih tanpa tertarik,"['foamnya', 'lembut', 'baunya', 'enak', 'kaya', 'buah', 'apa', 'ya', 'pokoknya', 'enak', 'kulit', 'bersih', 'tanpa', 'tertarik']","['foamnya', 'lembut', 'baunya', 'enak', 'kaya', 'buah', 'apa', 'pokoknya', 'enak', 'kulit', 'bersih', 'tertarik']",foamnya lembut baunya enak kaya buah apa pokoknya enak kulit bersih tertarik
"setelah dipakai selama kurang lebih 1 bulan, rambut2 alis bnyak yg mulai tumbuh. bulu mata juga makin panjang",setelah dipakai selama kurang lebih bulan rambut alis bnyak yg mulai tumbuh bulu mata juga makin panjang,setelah dipakai selama kurang lebih bulan rambut alis banyak yang mulai tumbuh bulu mata juga makin panjang,"['setelah', 'dipakai', 'selama', 'kurang', 'lebih', 'bulan', 'rambut', 'alis', 'banyak', 'yang', 'mulai', 'tumbuh', 'bulu', 'mata', 'juga', 'makin', 'panjang']","['dipakai', 'selama', 'kurang', 'lebih', 'bulan', 'rambut', 'alis', 'banyak', 'mulai', 'tumbuh', 'bulu', 'mata', 'makin', 'panjang']",dipakai selama kurang lebih bulan rambut alis banyak mulai tumbuh bulu mata makin panjang
wanginya enak,wanginya enak,wanginya enak,"['wanginya', 'enak']","['wanginya', 'enak']",wanginya enak
"terima kasih buat free giftnya, walaupun aku cowok tapi dapet lipbalm 🙂",terima kasih buat free giftnya walaupun aku cowok tapi dapet lipbalm,terima kasih buat free giftnya walaupun aku cowok tapi dapat lipbalm,"['terima', 'kasih', 'buat', 'free', 'giftnya', 'walaupun', 'aku', 'cowok', 'tapi', 'dapat', 'lipbalm']","['terima', 'kasih', 'buat', 'free', 'giftnya', 'walaupun', 'aku', 'cowok', 'lipbalm']",terima kasih buat free giftnya walaupun aku cowok lipbalm
dapat free lipstik sama serum sachet (*^^*),dapat free lipstik sama serum sachet,dapat free lipstik sama serum sachet,"['dapat', 'free', 'lipstik', 'sama', 'serum', 'sachet']","['free', 'lipstik', 'sama', 'serum', 'sachet']",free lipstik sama serum sachet
good,good,good,['good'],['good'],good
tidakk perluu di ragukan lagiii,tidakk perluu di ragukan lagiii,tidakk perluu di ragukan lagi,"['tidakk', 'perluu', 'di', 'ragukan', 'lagi']","['tidakk', 'perluu', 'ragukan']",tidakk perluu ragukan
no review found,no review found,no review found,"['no', 'review', 'found']","['no', 'review', 'found']",no review found
"keluarnya tidak merata, sepertinya ada masalah di salurannya",keluarnya tidak merata sepertinya ada masalah di salurannya,keluarnya tidak merata sepertinya ada masalah di salurannya,"['keluarnya', 'tidak', 'merata', 'sepertinya', 'ada', 'masalah', 'di', 'salurannya']","['keluarnya', 'merata', 'sepertinya', 'masalah', 'salurannya']",keluarnya merata sepertinya masalah salurannya
warnanya sama persis kayak cushion nya😍,warnanya sama persis kayak cushion nya,warnanya sama persis kayak cushion nya,"['warnanya', 'sama', 'persis', 'kayak', 'cushion', 'nya']","['warnanya', 'sama', 'persis', 'kayak', 'cushion', 'nya']",warnanya sama persis kayak cushion nya
"bahannya ringan, gampang diserap, cocok banget di kulit aku bikin nyaman pokonya suka bgt sama somethinc😍 tipe kulitku berminyak tipe kulitku kombinasi",bahannya ringan gampang diserap cocok banget di kulit aku bikin nyaman pokonya suka bgt sama somethinc tipe kulitku berminyak tipe kulitku kombinasi,bahannya ringan gampang diserap cocok banget di kulit aku bikin nyaman pokoknya suka banget sama somethinc tipe kulitku berminyak tipe kulitku kombinasi,"['bahannya', 'ringan', 'gampang', 'diserap', 'cocok', 'banget', 'di', 'kulit', 'aku', 'bikin', 'nyaman', 'pokoknya', 'suka', 'banget', 'sama', 'somethinc', 'tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kombinasi']","['bahannya', 'ringan', 'gampang', 'diserap', 'cocok', 'banget', 'kulit', 'aku', 'bikin', 'nyaman', 'pokoknya', 'suka', 'banget', 'sama', 'somethinc', 'tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kombinasi']",bahannya ringan gampang diserap cocok banget kulit aku bikin nyaman pokoknya suka banget sama somethinc tipe kulitku berminyak tipe kulitku kombinasi
