case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma
"it's beautiful package, bintang 5 buat safety nya✨🙏",it beautiful package bintang buat safety nya,itu beautiful package bintang buat safety nya,"['itu', 'beautiful', 'package', 'bintang', 'buat', 'safety', 'nya']","['beautiful', 'package', 'bintang', 'safety']","['beautiful', 'package', 'bintang', 'safety']",beautiful package bintang safety
tipe kulitku kering,tipe kulitku kering,tipe kulitku kering,"['tipe', 'kulitku', 'kering']","['tipe', 'kulitku', 'kering']","['tipe', 'kulit', 'kering']",tipe kulit kering
"pengiriman agak lama karena beda provinsi, tapi gapapa. packingnya aman banget, semoga cocok dan bisa memperbaiki kulit aku tipe kulitku berminyak",pengiriman agak lama karena beda provinsi tapi gapapa packingnya aman banget semoga cocok dan bisa memperbaiki kulit aku tipe kulitku berminyak,pengiriman agak lama karena beda provinsi tapi gapapa packingnya aman banget semoga cocok dan bisa memperbaiki kulit aku tipe kulitku berminyak,"['pengiriman', 'agak', 'lama', 'karena', 'beda', 'provinsi', 'tapi', 'gapapa', 'packingnya', 'aman', 'banget', 'semoga', 'cocok', 'dan', 'bisa', 'memperbaiki', 'kulit', 'aku', 'tipe', 'kulitku', 'berminyak']","['pengiriman', 'beda', 'provinsi', 'gapapa', 'packingnya', 'aman', 'banget', 'semoga', 'cocok', 'memperbaiki', 'kulit', 'tipe', 'kulitku', 'berminyak']","['kirim', 'beda', 'provinsi', 'gapapa', 'packingnya', 'aman', 'banget', 'moga', 'cocok', 'baik', 'kulit', 'tipe', 'kulit', 'minyak']",kirim beda provinsi gapapa packingnya aman banget moga cocok baik kulit tipe kulit minyak
top..,top,top,['top'],['top'],['top'],top
tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'sensitif']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kombinasi', 'kulitku', 'kerutan', 'kulitku', 'jerawat', 'kulitku', 'pori', 'tipe', 'kulitku', 'sensitif']","['tipe', 'kulit', 'minyak', 'tipe', 'kulit', 'kering', 'tipe', 'kulit', 'normal', 'tipe', 'kulit', 'kombinasi', 'kulit', 'kerut', 'kulit', 'jerawat', 'kulit', 'pori', 'tipe', 'kulit', 'sensitif']",tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi kulit kerut kulit jerawat kulit pori tipe kulit sensitif
exp 0525,exp,exp,['exp'],['exp'],['exp'],exp
no review found,no review found,no review found,"['no', 'review', 'found']","['review', 'found']","['review', 'found']",review found
pertama banget dulu sih beli bagus bgt ya di muka waktu itu kemasan masih biru. mungkin sktr 4 tahun yang lalu masih belum viral perskincare an . semenjak hamil ud stop pake produk bayi aja. ini mau coba lagi karena kangen sensasinya waktu make dulu.  emang feelnya beda.. tp smga ngaruh di jerawat yg suka muncul tiba tiba,pertama banget dulu sih beli bagus bgt ya di muka waktu itu kemasan masih biru mungkin sktr tahun yang lalu masih belum viral perskincare an semenjak hamil ud stop pake produk bayi aja ini mau coba lagi karena kangen sensasinya waktu make dulu emang feelnya beda tp smga ngaruh di jerawat yg suka muncul tiba tiba,pertama banget dulu sih beli bagus banget ya di muka waktu itu kemasan masih biru mungkin sekitar tahun yang lalu masih belum viral perskincare an semenjak hamil sudah stop pakai produk bayi saja ini mau coba lagi karena kangen sensasinya waktu memakai dulu memang feelnya beda tapi semoga ngaruh di jerawat yang suka muncul tiba tiba,"['pertama', 'banget', 'dulu', 'sih', 'beli', 'bagus', 'banget', 'ya', 'di', 'muka', 'waktu', 'itu', 'kemasan', 'masih', 'biru', 'mungkin', 'sekitar', 'tahun', 'yang', 'lalu', 'masih', 'belum', 'viral', 'perskincare', 'an', 'semenjak', 'hamil', 'sudah', 'stop', 'pakai', 'produk', 'bayi', 'saja', 'ini', 'mau', 'coba', 'lagi', 'karena', 'kangen', 'sensasinya', 'waktu', 'memakai', 'dulu', 'memang', 'feelnya', 'beda', 'tapi', 'semoga', 'ngaruh', 'di', 'jerawat', 'yang', 'suka', 'muncul', 'tiba', 'tiba']","['banget', 'beli', 'bagus', 'banget', 'muka', 'kemasan', 'biru', 'viral', 'perskincare', 'semenjak', 'hamil', 'stop', 'pakai', 'produk', 'bayi', 'coba', 'kangen', 'sensasinya', 'memakai', 'feelnya', 'beda', 'semoga', 'ngaruh', 'jerawat', 'suka']","['banget', 'beli', 'bagus', 'banget', 'muka', 'kemas', 'biru', 'viral', 'perskincare', 'semenjak', 'hamil', 'stop', 'pakai', 'produk', 'bayi', 'coba', 'kangen', 'sensasi', 'pakai', 'feelnya', 'beda', 'moga', 'ngaruh', 'jerawat', 'suka']",banget beli bagus banget muka kemas biru viral perskincare semenjak hamil stop pakai produk bayi coba kangen sensasi pakai feelnya beda moga ngaruh jerawat suka
tipe kulitku berminyak,tipe kulitku berminyak,tipe kulitku berminyak,"['tipe', 'kulitku', 'berminyak']","['tipe', 'kulitku', 'berminyak']","['tipe', 'kulit', 'minyak']",tipe kulit minyak
tipe kulitku berminyak masalah kulitku pori besar,tipe kulitku berminyak masalah kulitku pori besar,tipe kulitku berminyak masalah kulitku pori besar,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'berminyak', 'kulitku', 'pori']","['tipe', 'kulit', 'minyak', 'kulit', 'pori']",tipe kulit minyak kulit pori
