case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma
sipp,sipp,sip,['sip'],['sip'],['sip'],sip
"proses orderan san pengirimannya sesuai estimasi, pengemasannya juga aman banget! karena kulitku lagi cukup sensitif dan cukup sering pakai makeup, jadi mau coba sunscreen spray ini yg cukup menarik karena ada cooling sensationnya hehe, semoga cocok, thank you azarine!",proses orderan san pengirimannya sesuai estimasi pengemasannya juga aman banget karena kulitku lagi cukup sensitif dan cukup sering pakai makeup jadi mau coba sunscreen spray ini yg cukup menarik karena ada cooling sensationnya semoga cocok thank you azarine,proses orderan san pengirimannya sesuai estimasi pengemasannya juga aman banget karena kulitku lagi cukup sensitif dan cukup sering pakai makeup jadi mau coba sunscreen spray ini yang cukup menarik karena ada cooling sensationnya semoga cocok thank you azarine,"['proses', 'orderan', 'san', 'pengirimannya', 'sesuai', 'estimasi', 'pengemasannya', 'juga', 'aman', 'banget', 'karena', 'kulitku', 'lagi', 'cukup', 'sensitif', 'dan', 'cukup', 'sering', 'pakai', 'makeup', 'jadi', 'mau', 'coba', 'sunscreen', 'spray', 'ini', 'yang', 'cukup', 'menarik', 'karena', 'ada', 'cooling', 'sensationnya', 'semoga', 'cocok', 'thank', 'you', 'azarine']","['orderan', 'san', 'pengirimannya', 'estimasi', 'pengemasannya', 'aman', 'banget', 'kulitku', 'sensitif', 'pakai', 'makeup', 'coba', 'sunscreen', 'spray', 'menarik', 'cooling', 'sensationnya', 'semoga', 'cocok', 'thank', 'azarine']","['order', 'san', 'kirim', 'estimasi', 'emas', 'aman', 'banget', 'kulit', 'sensitif', 'pakai', 'makeup', 'coba', 'sunscreen', 'spray', 'tarik', 'cooling', 'sensationnya', 'moga', 'cocok', 'thank', 'azarine']",order san kirim estimasi emas aman banget kulit sensitif pakai makeup coba sunscreen spray tarik cooling sensationnya moga cocok thank azarine
"terima kasih
sudah diterima dengan baik",terima kasih sudah diterima dengan baik,terima kasih sudah diterima dengan baik,"['terima', 'kasih', 'sudah', 'diterima', 'dengan', 'baik']","['terima', 'kasih', 'diterima']","['terima', 'kasih', 'terima']",terima kasih terima
tipe kulitku kombinasi tipe kulitku normal tipe kulitku kering tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi tipe kulitku normal tipe kulitku kering tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi tipe kulitku normal tipe kulitku kering tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,"['tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'berminyak', 'kulitku', 'jerawat', 'kulitku', 'pori']","['tipe', 'kulit', 'kombinasi', 'tipe', 'kulit', 'normal', 'tipe', 'kulit', 'kering', 'tipe', 'kulit', 'minyak', 'kulit', 'jerawat', 'kulit', 'pori']",tipe kulit kombinasi tipe kulit normal tipe kulit kering tipe kulit minyak kulit jerawat kulit pori
ini kurang oke menurut sy. dipake ga bikin bibir lembab tp malah jd kering dan kasar. belom lg warnanya merah bgt jd menor gt.,ini kurang oke menurut sy dipake ga bikin bibir lembab tp malah jd kering dan kasar belom lg warnanya merah bgt jd menor gt,ini kurang oke menurut saya dipakai enggak bikin bibir lembab tapi malah jadi kering dan kasar belum lagi warnanya merah banget jadi menor begitu,"['ini', 'kurang', 'oke', 'menurut', 'saya', 'dipakai', 'enggak', 'bikin', 'bibir', 'lembab', 'tapi', 'malah', 'jadi', 'kering', 'dan', 'kasar', 'belum', 'lagi', 'warnanya', 'merah', 'banget', 'jadi', 'menor', 'begitu']","['oke', 'dipakai', 'bibir', 'lembab', 'kering', 'kasar', 'warnanya', 'merah', 'banget', 'menor']","['oke', 'pakai', 'bibir', 'lembab', 'kering', 'kasar', 'warna', 'merah', 'banget', 'menor']",oke pakai bibir lembab kering kasar warna merah banget menor
tipe kulitku berminyak,tipe kulitku berminyak,tipe kulitku berminyak,"['tipe', 'kulitku', 'berminyak']","['tipe', 'kulitku', 'berminyak']","['tipe', 'kulit', 'minyak']",tipe kulit minyak
tipe kulitku sensitif masalah kulitku jerawat,tipe kulitku sensitif masalah kulitku jerawat,tipe kulitku sensitif masalah kulitku jerawat,"['tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat']","['tipe', 'kulitku', 'sensitif', 'kulitku', 'jerawat']","['tipe', 'kulit', 'sensitif', 'kulit', 'jerawat']",tipe kulit sensitif kulit jerawat
gak approved untuk sawo matang bibir hitam.. krn kliatan hitam bgt,gak approved untuk sawo matang bibir hitam krn kliatan hitam bgt,enggak approved untuk sawo matang bibir hitam karena kelihatan hitam banget,"['enggak', 'approved', 'untuk', 'sawo', 'matang', 'bibir', 'hitam', 'karena', 'kelihatan', 'hitam', 'banget']","['approved', 'sawo', 'matang', 'bibir', 'hitam', 'hitam', 'banget']","['approved', 'sawo', 'matang', 'bibir', 'hitam', 'hitam', 'banget']",approved sawo matang bibir hitam hitam banget
setelah dicoba takut gak cocok..ternyata cocok di kulit saya..padahal kulit saya sensitif..top banget..ramah di kantong..,setelah dicoba takut gak cocok ternyata cocok di kulit saya padahal kulit saya sensitif top banget ramah di kantong,setelah dicoba takut enggak cocok ternyata cocok di kulit saya padahal kulit saya sensitif top banget ramah di kantong,"['setelah', 'dicoba', 'takut', 'enggak', 'cocok', 'ternyata', 'cocok', 'di', 'kulit', 'saya', 'padahal', 'kulit', 'saya', 'sensitif', 'top', 'banget', 'ramah', 'di', 'kantong']","['dicoba', 'takut', 'cocok', 'cocok', 'kulit', 'kulit', 'sensitif', 'top', 'banget', 'ramah', 'kantong']","['coba', 'takut', 'cocok', 'cocok', 'kulit', 'kulit', 'sensitif', 'top', 'banget', 'ramah', 'kantong']",coba takut cocok cocok kulit kulit sensitif top banget ramah kantong
selalu cocok sama produk azarine..top dech..,selalu cocok sama produk azarine top dech,selalu cocok sama produk azarine top deh,"['selalu', 'cocok', 'sama', 'produk', 'azarine', 'top', 'deh']","['cocok', 'produk', 'azarine', 'top']","['cocok', 'produk', 'azarine', 'top']",cocok produk azarine top
cocok banget kulit jadi lembab..lebih fresh,cocok banget kulit jadi lembab lebih fresh,cocok banget kulit jadi lembab lebih fresh,"['cocok', 'banget', 'kulit', 'jadi', 'lembab', 'lebih', 'fresh']","['cocok', 'banget', 'kulit', 'lembab', 'fresh']","['cocok', 'banget', 'kulit', 'lembab', 'fresh']",cocok banget kulit lembab fresh
