case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma
no review found,no review found,no review found,"['no', 'review', 'found']","['review', 'found']","['review', 'found']",review found
ini parah banget seller dan pengiriman kurir. udah lama banget kirimnya. plus waktu sampai dibuka paketnya rusak! gajelas ini seller tidak professional dan tidak niat jualan sama sekali. meskipun official store. tolong hargai customer dengan dapat membungkus paket dengan baik dan benar!!!,ini parah banget seller dan pengiriman kurir udah lama banget kirimnya plus waktu sampai dibuka paketnya rusak gajelas ini seller tidak professional dan tidak niat jualan sama sekali meskipun official store tolong hargai customer dengan dapat membungkus paket dengan baik dan benar,ini parah banget seller dan pengiriman kurir sudah lama banget kirimnya plus waktu sampai dibuka paketnya rusak enggak jelas ini seller tidak professional dan tidak niat jualan sama sekali meskipun official store tolong hargai customer dengan dapat membungkus paket dengan baik dan benar,"['ini', 'parah', 'banget', 'seller', 'dan', 'pengiriman', 'kurir', 'sudah', 'lama', 'banget', 'kirimnya', 'plus', 'waktu', 'sampai', 'dibuka', 'paketnya', 'rusak', 'enggak', 'jelas', 'ini', 'seller', 'tidak', 'professional', 'dan', 'tidak', 'niat', 'jualan', 'sama', 'sekali', 'meskipun', 'official', 'store', 'tolong', 'hargai', 'customer', 'dengan', 'dapat', 'membungkus', 'paket', 'dengan', 'baik', 'dan', 'benar']","['parah', 'banget', 'seller', 'pengiriman', 'kurir', 'banget', 'kirimnya', 'plus', 'dibuka', 'paketnya', 'rusak', 'seller', 'professional', 'niat', 'jualan', 'official', 'store', 'tolong', 'hargai', 'customer', 'membungkus', 'paket']","['parah', 'banget', 'seller', 'kirim', 'kurir', 'banget', 'kirim', 'plus', 'buka', 'paket', 'rusak', 'seller', 'professional', 'niat', 'jual', 'official', 'store', 'tolong', 'harga', 'customer', 'bungkus', 'paket']",parah banget seller kirim kurir banget kirim plus buka paket rusak seller professional niat jual official store tolong harga customer bungkus paket
tipe kulitku sensitif,tipe kulitku sensitif,tipe kulitku sensitif,"['tipe', 'kulitku', 'sensitif']","['tipe', 'kulitku', 'sensitif']","['tipe', 'kulit', 'sensitif']",tipe kulit sensitif
baru pertama kali coba. baca review banyak yang kasih nilai bagus. semoga cocok yaa...,baru pertama kali coba baca review banyak yang kasih nilai bagus semoga cocok yaa,baru pertama kali coba baca review banyak yang kasih nilai bagus semoga cocok ya,"['baru', 'pertama', 'kali', 'coba', 'baca', 'review', 'banyak', 'yang', 'kasih', 'nilai', 'bagus', 'semoga', 'cocok', 'ya']","['coba', 'baca', 'review', 'kasih', 'nilai', 'bagus', 'semoga', 'cocok']","['coba', 'baca', 'review', 'kasih', 'nilai', 'bagus', 'moga', 'cocok']",coba baca review kasih nilai bagus moga cocok
"kotaknya penyok. untung pake bubble wrap yg tebal, barang aman deh",kotaknya penyok untung pake bubble wrap yg tebal barang aman deh,kotaknya penyok untung pakai bubble wrap yang tebal barang aman deh,"['kotaknya', 'penyok', 'untung', 'pakai', 'bubble', 'wrap', 'yang', 'tebal', 'barang', 'aman', 'deh']","['kotaknya', 'penyok', 'untung', 'pakai', 'bubble', 'wrap', 'tebal', 'aman']","['kotak', 'penyok', 'untung', 'pakai', 'bubble', 'wrap', 'tebal', 'aman']",kotak penyok untung pakai bubble wrap tebal aman
for the first time mau cobain moisturizer viral ini semoga cocok deh sama bumil iniii hihihi,for the first time mau cobain moisturizer viral ini semoga cocok deh sama bumil iniii,for the first time mau mencoba moisturizer viral ini semoga cocok deh sama bumil ini,"['for', 'the', 'first', 'time', 'mau', 'mencoba', 'moisturizer', 'viral', 'ini', 'semoga', 'cocok', 'deh', 'sama', 'bumil', 'ini']","['first', 'time', 'mencoba', 'moisturizer', 'viral', 'semoga', 'cocok', 'bumil']","['first', 'time', 'coba', 'moisturizer', 'viral', 'moga', 'cocok', 'bumil']",first time coba moisturizer viral moga cocok bumil
"enak bahannya, lebih cocok daripada formula lama, muka gak benyek bgt",enak bahannya lebih cocok daripada formula lama muka gak benyek bgt,enak bahannya lebih cocok daripada formula lama muka enggak benyek banget,"['enak', 'bahannya', 'lebih', 'cocok', 'daripada', 'formula', 'lama', 'muka', 'enggak', 'benyek', 'banget']","['bahannya', 'cocok', 'formula', 'muka', 'benyek', 'banget']","['bahan', 'cocok', 'formula', 'muka', 'benyek', 'banget']",bahan cocok formula muka benyek banget
gentle moist dan isinya banyak. love the new packaging🫶🏻,gentle moist dan isinya banyak love the new packaging,gentle moist dan isinya banyak love the new packaging,"['gentle', 'moist', 'dan', 'isinya', 'banyak', 'love', 'the', 'new', 'packaging']","['gentle', 'moist', 'isinya', 'love', 'new', 'packaging']","['gentle', 'moist', 'isi', 'love', 'new', 'packaging']",gentle moist isi love new packaging
"bahannya ringan, lembab dan ukuran cocok untuk dibawa traveling.
thank you seller",bahannya ringan lembab dan ukuran cocok untuk dibawa traveling thank you seller,bahannya ringan lembab dan ukuran cocok untuk dibawa traveling thank you seller,"['bahannya', 'ringan', 'lembab', 'dan', 'ukuran', 'cocok', 'untuk', 'dibawa', 'traveling', 'thank', 'you', 'seller']","['bahannya', 'ringan', 'lembab', 'ukuran', 'cocok', 'dibawa', 'traveling', 'thank', 'seller']","['bahan', 'ringan', 'lembab', 'ukur', 'cocok', 'bawa', 'traveling', 'thank', 'seller']",bahan ringan lembab ukur cocok bawa traveling thank seller
tipe kulitku berminyak masalah kulitku pori besar tipe kulitku sensitif. aku cocok pake ini hasilnya melembabkan dan alhamdulillah sejauh ini di kulit aman.,tipe kulitku berminyak masalah kulitku pori besar tipe kulitku sensitif aku cocok pake ini hasilnya melembabkan dan alhamdulillah sejauh ini di kulit aman,tipe kulitku berminyak masalah kulitku pori besar tipe kulitku sensitif aku cocok pakai ini hasilnya melembabkan dan alhamdulillah sejauh ini di kulit aman,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'sensitif', 'aku', 'cocok', 'pakai', 'ini', 'hasilnya', 'melembabkan', 'dan', 'alhamdulillah', 'sejauh', 'ini', 'di', 'kulit', 'aman']","['tipe', 'kulitku', 'berminyak', 'kulitku', 'pori', 'tipe', 'kulitku', 'sensitif', 'cocok', 'pakai', 'hasilnya', 'melembabkan', 'kulit', 'aman']","['tipe', 'kulit', 'minyak', 'kulit', 'pori', 'tipe', 'kulit', 'sensitif', 'cocok', 'pakai', 'hasil', 'melembabkan', 'kulit', 'aman']",tipe kulit minyak kulit pori tipe kulit sensitif cocok pakai hasil melembabkan kulit aman
