case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma
masalah kulitku kerutan,masalah kulitku kerutan,masalah kulitku kerutan,"['masalah', 'kulitku', 'kerutan']","['kulitku', 'kerutan']","['kulit', 'kerut']",kulit kerut
tipe kulitku kering,tipe kulitku kering,tipe kulitku kering,"['tipe', 'kulitku', 'kering']","['tipe', 'kulitku', 'kering']","['tipe', 'kulit', 'kering']",tipe kulit kering
"bagus banget lip tint nya warnanya jg bagus2, kemasannya gemes banget kecil2 . terimakasih",bagus banget lip tint nya warnanya jg bagus kemasannya gemes banget kecil terimakasih,bagus banget lip tint nya warnanya juga bagus kemasannya gemas banget kecil terima kasih,"['bagus', 'banget', 'lip', 'tint', 'nya', 'warnanya', 'juga', 'bagus', 'kemasannya', 'gemas', 'banget', 'kecil', 'terima', 'kasih']","['bagus', 'banget', 'lip', 'tint', 'warnanya', 'bagus', 'kemasannya', 'gemas', 'banget', 'terima', 'kasih']","['bagus', 'banget', 'lip', 'tint', 'warna', 'bagus', 'kemas', 'gemas', 'banget', 'terima', 'kasih']",bagus banget lip tint warna bagus kemas gemas banget terima kasih
"expire 2026, pengiriman cepat. cocok asal penggunaan sesuai instruksi.",expire pengiriman cepat cocok asal penggunaan sesuai instruksi,expire pengiriman cepat cocok asal penggunaan sesuai instruksi,"['expire', 'pengiriman', 'cepat', 'cocok', 'asal', 'penggunaan', 'sesuai', 'instruksi']","['expire', 'pengiriman', 'cepat', 'cocok', 'instruksi']","['expire', 'kirim', 'cepat', 'cocok', 'instruksi']",expire kirim cepat cocok instruksi
no review found,no review found,no review found,"['no', 'review', 'found']","['review', 'found']","['review', 'found']",review found
"dapet gift setiap pembelian…lucu bgt 
sukaaa…makasi",dapet gift setiap pembelian lucu bgt sukaaa makasi,dapat gift setiap pembelian lucu banget suka terima kasih,"['dapat', 'gift', 'setiap', 'pembelian', 'lucu', 'banget', 'suka', 'terima', 'kasih']","['gift', 'pembelian', 'lucu', 'banget', 'suka', 'terima', 'kasih']","['gift', 'beli', 'lucu', 'banget', 'suka', 'terima', 'kasih']",gift beli lucu banget suka terima kasih
ringan banget kaya ga pake apa apa terus beneran transferproof 😭🤏 mana design nya lucu lagiii,ringan banget kaya ga pake apa apa terus beneran transferproof mana design nya lucu lagiii,ringan banget kayak enggak pakai apa apa terus benaran transferproof mana design nya lucu lagi,"['ringan', 'banget', 'kayak', 'enggak', 'pakai', 'apa', 'apa', 'terus', 'benaran', 'transferproof', 'mana', 'design', 'nya', 'lucu', 'lagi']","['ringan', 'banget', 'pakai', 'benaran', 'transferproof', 'design', 'lucu']","['ringan', 'banget', 'pakai', 'benar', 'transferproof', 'design', 'lucu']",ringan banget pakai benar transferproof design lucu
"tipe kulitku sensitif dan cocok banget pake ini.
gak bikin kering sama sekali",tipe kulitku sensitif dan cocok banget pake ini gak bikin kering sama sekali,tipe kulitku sensitif dan cocok banget pakai ini enggak bikin kering sama sekali,"['tipe', 'kulitku', 'sensitif', 'dan', 'cocok', 'banget', 'pakai', 'ini', 'enggak', 'bikin', 'kering', 'sama', 'sekali']","['tipe', 'kulitku', 'sensitif', 'cocok', 'banget', 'pakai', 'kering']","['tipe', 'kulit', 'sensitif', 'cocok', 'banget', 'pakai', 'kering']",tipe kulit sensitif cocok banget pakai kering
"datang sesuai estimasi pengiriman, packing aman. terima kasih jne dan tokopedia ❤️",datang sesuai estimasi pengiriman packing aman terima kasih jne dan tokopedia,datang sesuai estimasi pengiriman packing aman terima kasih jne dan tokopedia,"['datang', 'sesuai', 'estimasi', 'pengiriman', 'packing', 'aman', 'terima', 'kasih', 'jne', 'dan', 'tokopedia']","['estimasi', 'pengiriman', 'packing', 'aman', 'terima', 'kasih', 'jne', 'tokopedia']","['estimasi', 'kirim', 'packing', 'aman', 'terima', 'kasih', 'jne', 'tokopedia']",estimasi kirim packing aman terima kasih jne tokopedia
"pertama coba nih serum moga cocok, packing aman dan kurir toppp.
tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar",pertama coba nih serum moga cocok packing aman dan kurir toppp tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,pertama coba nih serum moga cocok packing aman dan kurir top tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,"['pertama', 'coba', 'nih', 'serum', 'moga', 'cocok', 'packing', 'aman', 'dan', 'kurir', 'top', 'tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['coba', 'serum', 'cocok', 'packing', 'aman', 'kurir', 'top', 'tipe', 'kulitku', 'berminyak', 'kulitku', 'jerawat', 'kulitku', 'pori']","['coba', 'serum', 'cocok', 'packing', 'aman', 'kurir', 'top', 'tipe', 'kulit', 'minyak', 'kulit', 'jerawat', 'kulit', 'pori']",coba serum cocok packing aman kurir top tipe kulit minyak kulit jerawat kulit pori
