case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
"it's beautiful package, bintang 5 buat safety nya✨🙏",it beautiful package bintang buat safety nya,itu beautiful package bintang buat safety nya,"['itu', 'beautiful', 'package', 'bintang', 'buat', 'safety', 'nya']","['beautiful', 'package', 'bintang', 'safety']","['beautiful', 'package', 'bintang', 'safety']",beautiful package bintang safety,"{'classified_text': 'beautiful package bintang safety', 'tweet_text': ' beautiful package bintang safety', 'sentence_score': ['beautiful package bintang safety'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",beautiful package bintang safety, beautiful package bintang safety,['beautiful package bintang safety'],1,-1,netral
tipe kulitku kering,tipe kulitku kering,tipe kulitku kering,"['tipe', 'kulitku', 'kering']","['tipe', 'kulitku', 'kering']","['tipe', 'kulit', 'kering']",tipe kulit kering,"{'classified_text': 'tipe kulit kering', 'tweet_text': ' tipe kulit kering', 'sentence_score': ['tipe kulit kering'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit kering, tipe kulit kering,['tipe kulit kering'],1,-1,netral
"pengiriman agak lama karena beda provinsi, tapi gapapa. packingnya aman banget, semoga cocok dan bisa memperbaiki kulit aku tipe kulitku berminyak",pengiriman agak lama karena beda provinsi tapi gapapa packingnya aman banget semoga cocok dan bisa memperbaiki kulit aku tipe kulitku berminyak,pengiriman agak lama karena beda provinsi tapi gapapa packingnya aman banget semoga cocok dan bisa memperbaiki kulit aku tipe kulitku berminyak,"['pengiriman', 'agak', 'lama', 'karena', 'beda', 'provinsi', 'tapi', 'gapapa', 'packingnya', 'aman', 'banget', 'semoga', 'cocok', 'dan', 'bisa', 'memperbaiki', 'kulit', 'aku', 'tipe', 'kulitku', 'berminyak']","['pengiriman', 'beda', 'provinsi', 'gapapa', 'packingnya', 'aman', 'banget', 'semoga', 'cocok', 'memperbaiki', 'kulit', 'tipe', 'kulitku', 'berminyak']","['kirim', 'beda', 'provinsi', 'gapapa', 'packingnya', 'aman', 'banget', 'moga', 'cocok', 'baik', 'kulit', 'tipe', 'kulit', 'minyak']",kirim beda provinsi gapapa packingnya aman banget moga cocok baik kulit tipe kulit minyak,"{'classified_text': 'kirim beda provinsi gapapa packingnya aman [5] banget moga cocok [3] baik [5] kulit tipe kulit minyak', 'tweet_text': ' kirim beda provinsi gapapa packingnya aman banget moga cocok baik kulit tipe kulit minyak', 'sentence_score': ['kirim beda provinsi gapapa packingnya aman [5] banget moga cocok [3] baik [5] kulit tipe kulit minyak'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",kirim beda provinsi gapapa packingnya aman [5] banget moga cocok [3] baik [5] kulit tipe kulit minyak, kirim beda provinsi gapapa packingnya aman banget moga cocok baik kulit tipe kulit minyak,['kirim beda provinsi gapapa packingnya aman [5] banget moga cocok [3] baik [5] kulit tipe kulit minyak'],5,-1,positif
top..,top,top,['top'],['top'],['top'],top,"{'classified_text': 'top [4]', 'tweet_text': ' top', 'sentence_score': ['top [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",top [4], top,['top [4]'],4,-1,positif
tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'sensitif']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kombinasi', 'kulitku', 'kerutan', 'kulitku', 'jerawat', 'kulitku', 'pori', 'tipe', 'kulitku', 'sensitif']","['tipe', 'kulit', 'minyak', 'tipe', 'kulit', 'kering', 'tipe', 'kulit', 'normal', 'tipe', 'kulit', 'kombinasi', 'kulit', 'kerut', 'kulit', 'jerawat', 'kulit', 'pori', 'tipe', 'kulit', 'sensitif']",tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi kulit kerut kulit jerawat kulit pori tipe kulit sensitif,"{'classified_text': 'tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi kulit kerut [-2] kulit jerawat kulit pori tipe kulit sensitif [-2]', 'tweet_text': ' tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi kulit kerut kulit jerawat kulit pori tipe kulit sensitif', 'sentence_score': ['tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi kulit kerut [-2] kulit jerawat kulit pori tipe kulit sensitif [-2]'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi kulit kerut [-2] kulit jerawat kulit pori tipe kulit sensitif [-2], tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi kulit kerut kulit jerawat kulit pori tipe kulit sensitif,['tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi kulit kerut [-2] kulit jerawat kulit pori tipe kulit sensitif [-2]'],1,-2,negatif
exp 0525,exp,exp,['exp'],['exp'],['exp'],exp,"{'classified_text': 'exp', 'tweet_text': ' exp', 'sentence_score': ['exp'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",exp, exp,['exp'],1,-1,netral
no review found,no review found,no review found,"['no', 'review', 'found']","['review', 'found']","['review', 'found']",review found,"{'classified_text': 'review found', 'tweet_text': ' review found', 'sentence_score': ['review found'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",review found, review found,['review found'],1,-1,netral
pertama banget dulu sih beli bagus bgt ya di muka waktu itu kemasan masih biru. mungkin sktr 4 tahun yang lalu masih belum viral perskincare an . semenjak hamil ud stop pake produk bayi aja. ini mau coba lagi karena kangen sensasinya waktu make dulu.  emang feelnya beda.. tp smga ngaruh di jerawat yg suka muncul tiba tiba,pertama banget dulu sih beli bagus bgt ya di muka waktu itu kemasan masih biru mungkin sktr tahun yang lalu masih belum viral perskincare an semenjak hamil ud stop pake produk bayi aja ini mau coba lagi karena kangen sensasinya waktu make dulu emang feelnya beda tp smga ngaruh di jerawat yg suka muncul tiba tiba,pertama banget dulu sih beli bagus banget ya di muka waktu itu kemasan masih biru mungkin sekitar tahun yang lalu masih belum viral perskincare an semenjak hamil sudah stop pakai produk bayi saja ini mau coba lagi karena kangen sensasinya waktu memakai dulu memang feelnya beda tapi semoga ngaruh di jerawat yang suka muncul tiba tiba,"['pertama', 'banget', 'dulu', 'sih', 'beli', 'bagus', 'banget', 'ya', 'di', 'muka', 'waktu', 'itu', 'kemasan', 'masih', 'biru', 'mungkin', 'sekitar', 'tahun', 'yang', 'lalu', 'masih', 'belum', 'viral', 'perskincare', 'an', 'semenjak', 'hamil', 'sudah', 'stop', 'pakai', 'produk', 'bayi', 'saja', 'ini', 'mau', 'coba', 'lagi', 'karena', 'kangen', 'sensasinya', 'waktu', 'memakai', 'dulu', 'memang', 'feelnya', 'beda', 'tapi', 'semoga', 'ngaruh', 'di', 'jerawat', 'yang', 'suka', 'muncul', 'tiba', 'tiba']","['banget', 'beli', 'bagus', 'banget', 'muka', 'kemasan', 'biru', 'viral', 'perskincare', 'semenjak', 'hamil', 'stop', 'pakai', 'produk', 'bayi', 'coba', 'kangen', 'sensasinya', 'memakai', 'feelnya', 'beda', 'semoga', 'ngaruh', 'jerawat', 'suka']","['banget', 'beli', 'bagus', 'banget', 'muka', 'kemas', 'biru', 'viral', 'perskincare', 'semenjak', 'hamil', 'stop', 'pakai', 'produk', 'bayi', 'coba', 'kangen', 'sensasi', 'pakai', 'feelnya', 'beda', 'moga', 'ngaruh', 'jerawat', 'suka']",banget beli bagus banget muka kemas biru viral perskincare semenjak hamil stop pakai produk bayi coba kangen sensasi pakai feelnya beda moga ngaruh jerawat suka,"{'classified_text': 'banget beli bagus [5] banget muka kemas biru viral perskincare semenjak hamil stop pakai produk bayi coba kangen [4] sensasi [-2] pakai feelnya beda moga ngaruh jerawat suka [4]', 'tweet_text': ' banget beli bagus banget muka kemas biru viral perskincare semenjak hamil stop pakai produk bayi coba kangen sensasi pakai feelnya beda moga ngaruh jerawat suka', 'sentence_score': ['banget beli bagus [5] banget muka kemas biru viral perskincare semenjak hamil stop pakai produk bayi coba kangen [4] sensasi [-2] pakai feelnya beda moga ngaruh jerawat suka [4]'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}",banget beli bagus [5] banget muka kemas biru viral perskincare semenjak hamil stop pakai produk bayi coba kangen [4] sensasi [-2] pakai feelnya beda moga ngaruh jerawat suka [4], banget beli bagus banget muka kemas biru viral perskincare semenjak hamil stop pakai produk bayi coba kangen sensasi pakai feelnya beda moga ngaruh jerawat suka,['banget beli bagus [5] banget muka kemas biru viral perskincare semenjak hamil stop pakai produk bayi coba kangen [4] sensasi [-2] pakai feelnya beda moga ngaruh jerawat suka [4]'],5,-2,positif
tipe kulitku berminyak,tipe kulitku berminyak,tipe kulitku berminyak,"['tipe', 'kulitku', 'berminyak']","['tipe', 'kulitku', 'berminyak']","['tipe', 'kulit', 'minyak']",tipe kulit minyak,"{'classified_text': 'tipe kulit minyak', 'tweet_text': ' tipe kulit minyak', 'sentence_score': ['tipe kulit minyak'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit minyak, tipe kulit minyak,['tipe kulit minyak'],1,-1,netral
tipe kulitku berminyak masalah kulitku pori besar,tipe kulitku berminyak masalah kulitku pori besar,tipe kulitku berminyak masalah kulitku pori besar,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'berminyak', 'kulitku', 'pori']","['tipe', 'kulit', 'minyak', 'kulit', 'pori']",tipe kulit minyak kulit pori,"{'classified_text': 'tipe kulit minyak kulit pori', 'tweet_text': ' tipe kulit minyak kulit pori', 'sentence_score': ['tipe kulit minyak kulit pori'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit minyak kulit pori, tipe kulit minyak kulit pori,['tipe kulit minyak kulit pori'],1,-1,netral
