case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
sipp,sipp,sip,['sip'],['sip'],['sip'],sip,"{'classified_text': 'sip', 'tweet_text': ' sip', 'sentence_score': ['sip'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",sip, sip,['sip'],1,-1,netral
"proses orderan san pengirimannya sesuai estimasi, pengemasannya juga aman banget! karena kulitku lagi cukup sensitif dan cukup sering pakai makeup, jadi mau coba sunscreen spray ini yg cukup menarik karena ada cooling sensationnya hehe, semoga cocok, thank you azarine!",proses orderan san pengirimannya sesuai estimasi pengemasannya juga aman banget karena kulitku lagi cukup sensitif dan cukup sering pakai makeup jadi mau coba sunscreen spray ini yg cukup menarik karena ada cooling sensationnya semoga cocok thank you azarine,proses orderan san pengirimannya sesuai estimasi pengemasannya juga aman banget karena kulitku lagi cukup sensitif dan cukup sering pakai makeup jadi mau coba sunscreen spray ini yang cukup menarik karena ada cooling sensationnya semoga cocok thank you azarine,"['proses', 'orderan', 'san', 'pengirimannya', 'sesuai', 'estimasi', 'pengemasannya', 'juga', 'aman', 'banget', 'karena', 'kulitku', 'lagi', 'cukup', 'sensitif', 'dan', 'cukup', 'sering', 'pakai', 'makeup', 'jadi', 'mau', 'coba', 'sunscreen', 'spray', 'ini', 'yang', 'cukup', 'menarik', 'karena', 'ada', 'cooling', 'sensationnya', 'semoga', 'cocok', 'thank', 'you', 'azarine']","['orderan', 'san', 'pengirimannya', 'estimasi', 'pengemasannya', 'aman', 'banget', 'kulitku', 'sensitif', 'pakai', 'makeup', 'coba', 'sunscreen', 'spray', 'menarik', 'cooling', 'sensationnya', 'semoga', 'cocok', 'thank', 'azarine']","['order', 'san', 'kirim', 'estimasi', 'emas', 'aman', 'banget', 'kulit', 'sensitif', 'pakai', 'makeup', 'coba', 'sunscreen', 'spray', 'tarik', 'cooling', 'sensationnya', 'moga', 'cocok', 'thank', 'azarine']",order san kirim estimasi emas aman banget kulit sensitif pakai makeup coba sunscreen spray tarik cooling sensationnya moga cocok thank azarine,"{'classified_text': 'order san kirim estimasi emas [4] aman [6] banget kulit sensitif [-2] pakai makeup coba sunscreen spray tarik cooling sensationnya moga cocok [3] thank azarine', 'tweet_text': ' order san kirim estimasi emas aman banget kulit sensitif pakai makeup coba sunscreen spray tarik cooling sensationnya moga cocok thank azarine', 'sentence_score': ['order san kirim estimasi emas [4] aman [6] banget kulit sensitif [-2] pakai makeup coba sunscreen spray tarik cooling sensationnya moga cocok [3] thank azarine'], 'max_positive': 6, 'max_negative': -2, 'kelas': 'positif'}",order san kirim estimasi emas [4] aman [6] banget kulit sensitif [-2] pakai makeup coba sunscreen spray tarik cooling sensationnya moga cocok [3] thank azarine, order san kirim estimasi emas aman banget kulit sensitif pakai makeup coba sunscreen spray tarik cooling sensationnya moga cocok thank azarine,['order san kirim estimasi emas [4] aman [6] banget kulit sensitif [-2] pakai makeup coba sunscreen spray tarik cooling sensationnya moga cocok [3] thank azarine'],6,-2,positif
"terima kasih
sudah diterima dengan baik",terima kasih sudah diterima dengan baik,terima kasih sudah diterima dengan baik,"['terima', 'kasih', 'sudah', 'diterima', 'dengan', 'baik']","['terima', 'kasih', 'diterima']","['terima', 'kasih', 'terima']",terima kasih terima,"{'classified_text': 'terima kasih [4] terima', 'tweet_text': ' terima kasih terima', 'sentence_score': ['terima kasih [4] terima'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",terima kasih [4] terima, terima kasih terima,['terima kasih [4] terima'],4,-1,positif
tipe kulitku kombinasi tipe kulitku normal tipe kulitku kering tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi tipe kulitku normal tipe kulitku kering tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi tipe kulitku normal tipe kulitku kering tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,"['tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'berminyak', 'kulitku', 'jerawat', 'kulitku', 'pori']","['tipe', 'kulit', 'kombinasi', 'tipe', 'kulit', 'normal', 'tipe', 'kulit', 'kering', 'tipe', 'kulit', 'minyak', 'kulit', 'jerawat', 'kulit', 'pori']",tipe kulit kombinasi tipe kulit normal tipe kulit kering tipe kulit minyak kulit jerawat kulit pori,"{'classified_text': 'tipe kulit kombinasi tipe kulit normal [-1] tipe kulit kering tipe kulit minyak kulit jerawat kulit pori', 'tweet_text': ' tipe kulit kombinasi tipe kulit normal tipe kulit kering tipe kulit minyak kulit jerawat kulit pori', 'sentence_score': ['tipe kulit kombinasi tipe kulit normal [-1] tipe kulit kering tipe kulit minyak kulit jerawat kulit pori'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit kombinasi tipe kulit normal [-1] tipe kulit kering tipe kulit minyak kulit jerawat kulit pori, tipe kulit kombinasi tipe kulit normal tipe kulit kering tipe kulit minyak kulit jerawat kulit pori,['tipe kulit kombinasi tipe kulit normal [-1] tipe kulit kering tipe kulit minyak kulit jerawat kulit pori'],1,-1,netral
ini kurang oke menurut sy. dipake ga bikin bibir lembab tp malah jd kering dan kasar. belom lg warnanya merah bgt jd menor gt.,ini kurang oke menurut sy dipake ga bikin bibir lembab tp malah jd kering dan kasar belom lg warnanya merah bgt jd menor gt,ini kurang oke menurut saya dipakai enggak bikin bibir lembab tapi malah jadi kering dan kasar belum lagi warnanya merah banget jadi menor begitu,"['ini', 'kurang', 'oke', 'menurut', 'saya', 'dipakai', 'enggak', 'bikin', 'bibir', 'lembab', 'tapi', 'malah', 'jadi', 'kering', 'dan', 'kasar', 'belum', 'lagi', 'warnanya', 'merah', 'banget', 'jadi', 'menor', 'begitu']","['oke', 'dipakai', 'bibir', 'lembab', 'kering', 'kasar', 'warnanya', 'merah', 'banget', 'menor']","['oke', 'pakai', 'bibir', 'lembab', 'kering', 'kasar', 'warna', 'merah', 'banget', 'menor']",oke pakai bibir lembab kering kasar warna merah banget menor,"{'classified_text': 'oke [3] pakai bibir lembab kering kasar [-3] warna merah banget menor', 'tweet_text': ' oke pakai bibir lembab kering kasar warna merah banget menor', 'sentence_score': ['oke [3] pakai bibir lembab kering kasar [-3] warna merah banget menor'], 'max_positive': 3, 'max_negative': -3, 'kelas': 'netral'}",oke [3] pakai bibir lembab kering kasar [-3] warna merah banget menor, oke pakai bibir lembab kering kasar warna merah banget menor,['oke [3] pakai bibir lembab kering kasar [-3] warna merah banget menor'],3,-3,netral
tipe kulitku berminyak,tipe kulitku berminyak,tipe kulitku berminyak,"['tipe', 'kulitku', 'berminyak']","['tipe', 'kulitku', 'berminyak']","['tipe', 'kulit', 'minyak']",tipe kulit minyak,"{'classified_text': 'tipe kulit minyak', 'tweet_text': ' tipe kulit minyak', 'sentence_score': ['tipe kulit minyak'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit minyak, tipe kulit minyak,['tipe kulit minyak'],1,-1,netral
tipe kulitku sensitif masalah kulitku jerawat,tipe kulitku sensitif masalah kulitku jerawat,tipe kulitku sensitif masalah kulitku jerawat,"['tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat']","['tipe', 'kulitku', 'sensitif', 'kulitku', 'jerawat']","['tipe', 'kulit', 'sensitif', 'kulit', 'jerawat']",tipe kulit sensitif kulit jerawat,"{'classified_text': 'tipe kulit sensitif [-2] kulit jerawat', 'tweet_text': ' tipe kulit sensitif kulit jerawat', 'sentence_score': ['tipe kulit sensitif [-2] kulit jerawat'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit sensitif [-2] kulit jerawat, tipe kulit sensitif kulit jerawat,['tipe kulit sensitif [-2] kulit jerawat'],1,-2,negatif
gak approved untuk sawo matang bibir hitam.. krn kliatan hitam bgt,gak approved untuk sawo matang bibir hitam krn kliatan hitam bgt,enggak approved untuk sawo matang bibir hitam karena kelihatan hitam banget,"['enggak', 'approved', 'untuk', 'sawo', 'matang', 'bibir', 'hitam', 'karena', 'kelihatan', 'hitam', 'banget']","['approved', 'sawo', 'matang', 'bibir', 'hitam', 'hitam', 'banget']","['approved', 'sawo', 'matang', 'bibir', 'hitam', 'hitam', 'banget']",approved sawo matang bibir hitam hitam banget,"{'classified_text': 'approved sawo matang bibir hitam hitam banget', 'tweet_text': ' approved sawo matang bibir hitam hitam banget', 'sentence_score': ['approved sawo matang bibir hitam hitam banget'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",approved sawo matang bibir hitam hitam banget, approved sawo matang bibir hitam hitam banget,['approved sawo matang bibir hitam hitam banget'],1,-1,netral
setelah dicoba takut gak cocok..ternyata cocok di kulit saya..padahal kulit saya sensitif..top banget..ramah di kantong..,setelah dicoba takut gak cocok ternyata cocok di kulit saya padahal kulit saya sensitif top banget ramah di kantong,setelah dicoba takut enggak cocok ternyata cocok di kulit saya padahal kulit saya sensitif top banget ramah di kantong,"['setelah', 'dicoba', 'takut', 'enggak', 'cocok', 'ternyata', 'cocok', 'di', 'kulit', 'saya', 'padahal', 'kulit', 'saya', 'sensitif', 'top', 'banget', 'ramah', 'di', 'kantong']","['dicoba', 'takut', 'cocok', 'cocok', 'kulit', 'kulit', 'sensitif', 'top', 'banget', 'ramah', 'kantong']","['coba', 'takut', 'cocok', 'cocok', 'kulit', 'kulit', 'sensitif', 'top', 'banget', 'ramah', 'kantong']",coba takut cocok cocok kulit kulit sensitif top banget ramah kantong,"{'classified_text': 'coba takut [-3] cocok [3] cocok [4] kulit kulit sensitif [-2] top [5] banget ramah [5] kantong', 'tweet_text': ' coba takut cocok cocok kulit kulit sensitif top banget ramah kantong', 'sentence_score': ['coba takut [-3] cocok [3] cocok [4] kulit kulit sensitif [-2] top [5] banget ramah [5] kantong'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}",coba takut [-3] cocok [3] cocok [4] kulit kulit sensitif [-2] top [5] banget ramah [5] kantong, coba takut cocok cocok kulit kulit sensitif top banget ramah kantong,['coba takut [-3] cocok [3] cocok [4] kulit kulit sensitif [-2] top [5] banget ramah [5] kantong'],5,-3,positif
selalu cocok sama produk azarine..top dech..,selalu cocok sama produk azarine top dech,selalu cocok sama produk azarine top deh,"['selalu', 'cocok', 'sama', 'produk', 'azarine', 'top', 'deh']","['cocok', 'produk', 'azarine', 'top']","['cocok', 'produk', 'azarine', 'top']",cocok produk azarine top,"{'classified_text': 'cocok [3] produk azarine top [4]', 'tweet_text': ' cocok produk azarine top', 'sentence_score': ['cocok [3] produk azarine top [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",cocok [3] produk azarine top [4], cocok produk azarine top,['cocok [3] produk azarine top [4]'],4,-1,positif
