case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma,sentimen
masalah kulitku kerutan,masalah kulitku kerutan,masalah kulitku kerutan,"['masalah', 'kulitku', 'kerutan']","['kulitku', 'kerutan']","['kulit', 'kerut']",kulit kerut,"{'classified_text': 'kulit kerut [-2]', 'tweet_text': ' kulit kerut', 'sentence_score': ['kulit kerut [-2]'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}"
tipe kulitku kering,tipe kulitku kering,tipe kulitku kering,"['tipe', 'kulitku', 'kering']","['tipe', 'kulitku', 'kering']","['tipe', 'kulit', 'kering']",tipe kulit kering,"{'classified_text': 'tipe kulit kering', 'tweet_text': ' tipe kulit kering', 'sentence_score': ['tipe kulit kering'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
"bagus banget lip tint nya warnanya jg bagus2, kemasannya gemes banget kecil2 . terimakasih",bagus banget lip tint nya warnanya jg bagus kemasannya gemes banget kecil terimakasih,bagus banget lip tint nya warnanya juga bagus kemasannya gemas banget kecil terima kasih,"['bagus', 'banget', 'lip', 'tint', 'nya', 'warnanya', 'juga', 'bagus', 'kemasannya', 'gemas', 'banget', 'kecil', 'terima', 'kasih']","['bagus', 'banget', 'lip', 'tint', 'warnanya', 'bagus', 'kemasannya', 'gemas', 'banget', 'terima', 'kasih']","['bagus', 'banget', 'lip', 'tint', 'warna', 'bagus', 'kemas', 'gemas', 'banget', 'terima', 'kasih']",bagus banget lip tint warna bagus kemas gemas banget terima kasih,"{'classified_text': 'bagus [5] banget lip tint warna bagus [4] kemas gemas banget terima kasih [4]', 'tweet_text': ' bagus banget lip tint warna bagus kemas gemas banget terima kasih', 'sentence_score': ['bagus [5] banget lip tint warna bagus [4] kemas gemas banget terima kasih [4]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
"expire 2026, pengiriman cepat. cocok asal penggunaan sesuai instruksi.",expire pengiriman cepat cocok asal penggunaan sesuai instruksi,expire pengiriman cepat cocok asal penggunaan sesuai instruksi,"['expire', 'pengiriman', 'cepat', 'cocok', 'asal', 'penggunaan', 'sesuai', 'instruksi']","['expire', 'pengiriman', 'cepat', 'cocok', 'instruksi']","['expire', 'kirim', 'cepat', 'cocok', 'instruksi']",expire kirim cepat cocok instruksi,"{'classified_text': 'expire kirim cepat [4] cocok [4] instruksi', 'tweet_text': ' expire kirim cepat cocok instruksi', 'sentence_score': ['expire kirim cepat [4] cocok [4] instruksi'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
no review found,no review found,no review found,"['no', 'review', 'found']","['review', 'found']","['review', 'found']",review found,"{'classified_text': 'review found', 'tweet_text': ' review found', 'sentence_score': ['review found'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
"dapet gift setiap pembelian…lucu bgt 
sukaaa…makasi",dapet gift setiap pembelian lucu bgt sukaaa makasi,dapat gift setiap pembelian lucu banget suka terima kasih,"['dapat', 'gift', 'setiap', 'pembelian', 'lucu', 'banget', 'suka', 'terima', 'kasih']","['gift', 'pembelian', 'lucu', 'banget', 'suka', 'terima', 'kasih']","['gift', 'beli', 'lucu', 'banget', 'suka', 'terima', 'kasih']",gift beli lucu banget suka terima kasih,"{'classified_text': 'gift beli lucu [5] banget suka [5] terima kasih [4]', 'tweet_text': ' gift beli lucu banget suka terima kasih', 'sentence_score': ['gift beli lucu [5] banget suka [5] terima kasih [4]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
ringan banget kaya ga pake apa apa terus beneran transferproof 😭🤏 mana design nya lucu lagiii,ringan banget kaya ga pake apa apa terus beneran transferproof mana design nya lucu lagiii,ringan banget kayak enggak pakai apa apa terus benaran transferproof mana design nya lucu lagi,"['ringan', 'banget', 'kayak', 'enggak', 'pakai', 'apa', 'apa', 'terus', 'benaran', 'transferproof', 'mana', 'design', 'nya', 'lucu', 'lagi']","['ringan', 'banget', 'pakai', 'benaran', 'transferproof', 'design', 'lucu']","['ringan', 'banget', 'pakai', 'benar', 'transferproof', 'design', 'lucu']",ringan banget pakai benar transferproof design lucu,"{'classified_text': 'ringan banget pakai benar [4] transferproof design lucu [4]', 'tweet_text': ' ringan banget pakai benar transferproof design lucu', 'sentence_score': ['ringan banget pakai benar [4] transferproof design lucu [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
"tipe kulitku sensitif dan cocok banget pake ini.
gak bikin kering sama sekali",tipe kulitku sensitif dan cocok banget pake ini gak bikin kering sama sekali,tipe kulitku sensitif dan cocok banget pakai ini enggak bikin kering sama sekali,"['tipe', 'kulitku', 'sensitif', 'dan', 'cocok', 'banget', 'pakai', 'ini', 'enggak', 'bikin', 'kering', 'sama', 'sekali']","['tipe', 'kulitku', 'sensitif', 'cocok', 'banget', 'pakai', 'kering']","['tipe', 'kulit', 'sensitif', 'cocok', 'banget', 'pakai', 'kering']",tipe kulit sensitif cocok banget pakai kering,"{'classified_text': 'tipe kulit sensitif [-2] cocok [4] banget pakai kering', 'tweet_text': ' tipe kulit sensitif cocok banget pakai kering', 'sentence_score': ['tipe kulit sensitif [-2] cocok [4] banget pakai kering'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}"
"datang sesuai estimasi pengiriman, packing aman. terima kasih jne dan tokopedia ❤️",datang sesuai estimasi pengiriman packing aman terima kasih jne dan tokopedia,datang sesuai estimasi pengiriman packing aman terima kasih jne dan tokopedia,"['datang', 'sesuai', 'estimasi', 'pengiriman', 'packing', 'aman', 'terima', 'kasih', 'jne', 'dan', 'tokopedia']","['estimasi', 'pengiriman', 'packing', 'aman', 'terima', 'kasih', 'jne', 'tokopedia']","['estimasi', 'kirim', 'packing', 'aman', 'terima', 'kasih', 'jne', 'tokopedia']",estimasi kirim packing aman terima kasih jne tokopedia,"{'classified_text': 'estimasi kirim packing aman [4] terima kasih [4] jne tokopedia', 'tweet_text': ' estimasi kirim packing aman terima kasih jne tokopedia', 'sentence_score': ['estimasi kirim packing aman [4] terima kasih [4] jne tokopedia'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
"pertama coba nih serum moga cocok, packing aman dan kurir toppp.
tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar",pertama coba nih serum moga cocok packing aman dan kurir toppp tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,pertama coba nih serum moga cocok packing aman dan kurir top tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,"['pertama', 'coba', 'nih', 'serum', 'moga', 'cocok', 'packing', 'aman', 'dan', 'kurir', 'top', 'tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['coba', 'serum', 'cocok', 'packing', 'aman', 'kurir', 'top', 'tipe', 'kulitku', 'berminyak', 'kulitku', 'jerawat', 'kulitku', 'pori']","['coba', 'serum', 'cocok', 'packing', 'aman', 'kurir', 'top', 'tipe', 'kulit', 'minyak', 'kulit', 'jerawat', 'kulit', 'pori']",coba serum cocok packing aman kurir top tipe kulit minyak kulit jerawat kulit pori,"{'classified_text': 'coba serum cocok [3] packing aman [4] kurir top [4] tipe kulit minyak kulit jerawat kulit pori', 'tweet_text': ' coba serum cocok packing aman kurir top tipe kulit minyak kulit jerawat kulit pori', 'sentence_score': ['coba serum cocok [3] packing aman [4] kurir top [4] tipe kulit minyak kulit jerawat kulit pori'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
suka sama retinolnya somethinc,suka sama retinolnya somethinc,suka sama retinolnya somethinc,"['suka', 'sama', 'retinolnya', 'somethinc']","['suka', 'retinolnya', 'somethinc']","['suka', 'retinolnya', 'somethinc']",suka retinolnya somethinc,"{'classified_text': 'suka [4] retinolnya somethinc', 'tweet_text': ' suka retinolnya somethinc', 'sentence_score': ['suka [4] retinolnya somethinc'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
baguuus.. warna pas. coverage ok,baguuus warna pas coverage ok,bagus warna pas coverage ok,"['bagus', 'warna', 'pas', 'coverage', 'ok']","['bagus', 'warna', 'coverage']","['bagus', 'warna', 'coverage']",bagus warna coverage,"{'classified_text': 'bagus [4] warna coverage', 'tweet_text': ' bagus warna coverage', 'sentence_score': ['bagus [4] warna coverage'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
cocok buatku yg ga pake bedak....awalnya emang ada agak abu gt dikulit tp kalo sdh meresap goooodddd,cocok buatku yg ga pake bedak awalnya emang ada agak abu gt dikulit tp kalo sdh meresap goooodddd,cocok buatku yang enggak pakai bedak awalnya memang ada agak abu begitu dikulit tapi kalo sudah meresap good,"['cocok', 'buatku', 'yang', 'enggak', 'pakai', 'bedak', 'awalnya', 'memang', 'ada', 'agak', 'abu', 'begitu', 'dikulit', 'tapi', 'kalo', 'sudah', 'meresap', 'good']","['cocok', 'buatku', 'pakai', 'bedak', 'abu', 'dikulit', 'meresap']","['cocok', 'buat', 'pakai', 'bedak', 'abu', 'kulit', 'resap']",cocok buat pakai bedak abu kulit resap,"{'classified_text': 'cocok [3] buat pakai bedak abu kulit resap', 'tweet_text': ' cocok buat pakai bedak abu kulit resap', 'sentence_score': ['cocok [3] buat pakai bedak abu kulit resap'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
diamond nak bgt dipake. lemonade ku baru mau coba. smga cocok,diamond nak bgt dipake lemonade ku baru mau coba smga cocok,diamond enak banget dipakai lemonade ku baru mau coba semoga cocok,"['diamond', 'enak', 'banget', 'dipakai', 'lemonade', 'ku', 'baru', 'mau', 'coba', 'semoga', 'cocok']","['diamond', 'banget', 'dipakai', 'lemonade', 'ku', 'coba', 'semoga', 'cocok']","['diamond', 'banget', 'pakai', 'lemonade', 'ku', 'coba', 'moga', 'cocok']",diamond banget pakai lemonade ku coba moga cocok,"{'classified_text': 'diamond banget pakai lemonade ku coba moga cocok [3]', 'tweet_text': ' diamond banget pakai lemonade ku coba moga cocok', 'sentence_score': ['diamond banget pakai lemonade ku coba moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
enak.banget aplikatornyaaa,enak banget aplikatornyaaa,enak banget aplikatornya,"['enak', 'banget', 'aplikatornya']","['banget', 'aplikatornya']","['banget', 'aplikatornya']",banget aplikatornya,"{'classified_text': 'banget aplikatornya', 'tweet_text': ' banget aplikatornya', 'sentence_score': ['banget aplikatornya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
"fast response, on time delivery",fast response on time delivery,fast response on time delivery,"['fast', 'response', 'on', 'time', 'delivery']","['fast', 'response', 'time', 'delivery']","['fast', 'response', 'time', 'delivery']",fast response time delivery,"{'classified_text': 'fast response time delivery', 'tweet_text': ' fast response time delivery', 'sentence_score': ['fast response time delivery'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
baru sekali ini mau coba. semoga cocok. tqpi klo serum lainnya udah kesekian kali pake dan cocok cocok aja di kulit.,baru sekali ini mau coba semoga cocok tqpi klo serum lainnya udah kesekian kali pake dan cocok cocok aja di kulit,baru sekali ini mau coba semoga cocok tqpi kalo serum lainnya sudah kesekian kali pakai dan cocok cocok saja di kulit,"['baru', 'sekali', 'ini', 'mau', 'coba', 'semoga', 'cocok', 'tqpi', 'kalo', 'serum', 'lainnya', 'sudah', 'kesekian', 'kali', 'pakai', 'dan', 'cocok', 'cocok', 'saja', 'di', 'kulit']","['coba', 'semoga', 'cocok', 'tqpi', 'serum', 'kesekian', 'pakai', 'cocok', 'cocok', 'kulit']","['coba', 'moga', 'cocok', 'tqpi', 'serum', 'sekian', 'pakai', 'cocok', 'cocok', 'kulit']",coba moga cocok tqpi serum sekian pakai cocok cocok kulit,"{'classified_text': 'coba moga cocok [3] tqpi serum sekian pakai cocok [3] cocok [4] kulit', 'tweet_text': ' coba moga cocok tqpi serum sekian pakai cocok cocok kulit', 'sentence_score': ['coba moga cocok [3] tqpi serum sekian pakai cocok [3] cocok [4] kulit'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
"ini pembelian ke dua serum diamond ini.
sejauh ini cocok di kulit. belum ada perubahan yang signifikan. tapi karena di kulit enak, jadi beli lagi ....",ini pembelian ke dua serum diamond ini sejauh ini cocok di kulit belum ada perubahan yang signifikan tapi karena di kulit enak jadi beli lagi,ini pembelian ke dua serum diamond ini sejauh ini cocok di kulit belum ada perubahan yang signifikan tapi karena di kulit enak jadi beli lagi,"['ini', 'pembelian', 'ke', 'dua', 'serum', 'diamond', 'ini', 'sejauh', 'ini', 'cocok', 'di', 'kulit', 'belum', 'ada', 'perubahan', 'yang', 'signifikan', 'tapi', 'karena', 'di', 'kulit', 'enak', 'jadi', 'beli', 'lagi']","['pembelian', 'serum', 'diamond', 'cocok', 'kulit', 'perubahan', 'signifikan', 'kulit', 'beli']","['beli', 'serum', 'diamond', 'cocok', 'kulit', 'ubah', 'signifikan', 'kulit', 'beli']",beli serum diamond cocok kulit ubah signifikan kulit beli,"{'classified_text': 'beli serum diamond cocok [3] kulit ubah signifikan kulit beli', 'tweet_text': ' beli serum diamond cocok kulit ubah signifikan kulit beli', 'sentence_score': ['beli serum diamond cocok [3] kulit ubah signifikan kulit beli'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
"cocok pake pelembab ini. selalu dipake siang dan malem.
lebih suka packaging yang 25ml karena bisa ke kontrol pemakaiannya dan gak kebanyakan nempel ke muka.",cocok pake pelembab ini selalu dipake siang dan malem lebih suka packaging yang ml karena bisa ke kontrol pemakaiannya dan gak kebanyakan nempel ke muka,cocok pakai pelembab ini selalu dipakai siang dan malam lebih suka packaging yang ml karena bisa ke kontrol pemakaiannya dan enggak kebanyakan menempel ke muka,"['cocok', 'pakai', 'pelembab', 'ini', 'selalu', 'dipakai', 'siang', 'dan', 'malam', 'lebih', 'suka', 'packaging', 'yang', 'ml', 'karena', 'bisa', 'ke', 'kontrol', 'pemakaiannya', 'dan', 'enggak', 'kebanyakan', 'menempel', 'ke', 'muka']","['cocok', 'pakai', 'pelembab', 'dipakai', 'siang', 'malam', 'suka', 'packaging', 'ml', 'kontrol', 'pemakaiannya', 'kebanyakan', 'menempel', 'muka']","['cocok', 'pakai', 'pelembab', 'pakai', 'siang', 'malam', 'suka', 'packaging', 'ml', 'kontrol', 'pakai', 'banyak', 'tempel', 'muka']",cocok pakai pelembab pakai siang malam suka packaging ml kontrol pakai banyak tempel muka,"{'classified_text': 'cocok [3] pakai pelembab pakai siang malam suka [4] packaging ml kontrol pakai banyak tempel muka', 'tweet_text': ' cocok pakai pelembab pakai siang malam suka packaging ml kontrol pakai banyak tempel muka', 'sentence_score': ['cocok [3] pakai pelembab pakai siang malam suka [4] packaging ml kontrol pakai banyak tempel muka'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
"baru nyoba sekali ini.
semoga cocok. tapi klo produk skin care lainnya udah bbrp kali coba dan cocok di kulit.",baru nyoba sekali ini semoga cocok tapi klo produk skin care lainnya udah bbrp kali coba dan cocok di kulit,baru mencoba sekali ini semoga cocok tapi kalo produk skin care lainnya sudah beberapa kali coba dan cocok di kulit,"['baru', 'mencoba', 'sekali', 'ini', 'semoga', 'cocok', 'tapi', 'kalo', 'produk', 'skin', 'care', 'lainnya', 'sudah', 'beberapa', 'kali', 'coba', 'dan', 'cocok', 'di', 'kulit']","['mencoba', 'semoga', 'cocok', 'produk', 'skin', 'coba', 'cocok', 'kulit']","['coba', 'moga', 'cocok', 'produk', 'skin', 'coba', 'cocok', 'kulit']",coba moga cocok produk skin coba cocok kulit,"{'classified_text': 'coba moga cocok [3] produk skin coba cocok [3] kulit', 'tweet_text': ' coba moga cocok produk skin coba cocok kulit', 'sentence_score': ['coba moga cocok [3] produk skin coba cocok [3] kulit'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
bagus bikin bulu mata lentik dan awet,bagus bikin bulu mata lentik dan awet,bagus bikin bulu mata lentik dan awet,"['bagus', 'bikin', 'bulu', 'mata', 'lentik', 'dan', 'awet']","['bagus', 'bulu', 'lentik', 'awet']","['bagus', 'bulu', 'lentik', 'awet']",bagus bulu lentik awet,"{'classified_text': 'bagus [4] bulu [-1] lentik awet', 'tweet_text': ' bagus bulu lentik awet', 'sentence_score': ['bagus [4] bulu [-1] lentik awet'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
"first nyoba moist ini, semoga cocok. makasih min dikasih bonus lucuu. sukses selalu",first nyoba moist ini semoga cocok makasih min dikasih bonus lucuu sukses selalu,first mencoba moist ini semoga cocok terima kasih min dikasih bonus lucu sukses selalu,"['first', 'mencoba', 'moist', 'ini', 'semoga', 'cocok', 'terima', 'kasih', 'min', 'dikasih', 'bonus', 'lucu', 'sukses', 'selalu']","['first', 'mencoba', 'moist', 'semoga', 'cocok', 'terima', 'kasih', 'dikasih', 'bonus', 'lucu', 'sukses']","['first', 'coba', 'moist', 'moga', 'cocok', 'terima', 'kasih', 'kasih', 'bonus', 'lucu', 'sukses']",first coba moist moga cocok terima kasih kasih bonus lucu sukses,"{'classified_text': 'first coba moist moga cocok [3] terima kasih [4] kasih bonus [3] lucu [5] sukses [5]', 'tweet_text': ' first coba moist moga cocok terima kasih kasih bonus lucu sukses', 'sentence_score': ['first coba moist moga cocok [3] terima kasih [4] kasih bonus [3] lucu [5] sukses [5]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
best matte lipstick. repeat order kesekian kalinya tak terhitung. lipstick favourite.,best matte lipstick repeat order kesekian kalinya tak terhitung lipstick favourite,best matte lipstick repeat order kesekian kalinya tak terhitung lipstick favourite,"['best', 'matte', 'lipstick', 'repeat', 'order', 'kesekian', 'kalinya', 'tak', 'terhitung', 'lipstick', 'favourite']","['best', 'matte', 'lipstick', 'repeat', 'order', 'kesekian', 'kalinya', 'terhitung', 'lipstick', 'favourite']","['best', 'matte', 'lipstick', 'repeat', 'order', 'sekian', 'kali', 'hitung', 'lipstick', 'favourite']",best matte lipstick repeat order sekian kali hitung lipstick favourite,"{'classified_text': 'best matte lipstick repeat order sekian kali hitung lipstick favourite', 'tweet_text': ' best matte lipstick repeat order sekian kali hitung lipstick favourite', 'sentence_score': ['best matte lipstick repeat order sekian kali hitung lipstick favourite'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
tipe kulitku normal masalah kulitku kerutan,tipe kulitku normal masalah kulitku kerutan,tipe kulitku normal masalah kulitku kerutan,"['tipe', 'kulitku', 'normal', 'masalah', 'kulitku', 'kerutan']","['tipe', 'kulitku', 'normal', 'kulitku', 'kerutan']","['tipe', 'kulit', 'normal', 'kulit', 'kerut']",tipe kulit normal kulit kerut,"{'classified_text': 'tipe kulit normal [-1] kulit kerut [-2]', 'tweet_text': ' tipe kulit normal kulit kerut', 'sentence_score': ['tipe kulit normal [-1] kulit kerut [-2]'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}"
alhamdulillah dapet diskonan. terima kasih kak,alhamdulillah dapet diskonan terima kasih kak,alhamdulillah dapat diskonan terima kasih kak,"['alhamdulillah', 'dapat', 'diskonan', 'terima', 'kasih', 'kak']","['diskonan', 'terima', 'kasih']","['diskon', 'terima', 'kasih']",diskon terima kasih,"{'classified_text': 'diskon terima kasih [4]', 'tweet_text': ' diskon terima kasih', 'sentence_score': ['diskon terima kasih [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
"wanginya soft, pembelian pertama",wanginya soft pembelian pertama,wanginya soft pembelian pertama,"['wanginya', 'soft', 'pembelian', 'pertama']","['wanginya', 'soft', 'pembelian']","['wangi', 'soft', 'beli']",wangi soft beli,"{'classified_text': 'wangi soft beli', 'tweet_text': ' wangi soft beli', 'sentence_score': ['wangi soft beli'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
"agak encer, dicoba dulu ya thx",agak encer dicoba dulu ya thx,agak encer dicoba dulu ya thanks,"['agak', 'encer', 'dicoba', 'dulu', 'ya', 'thanks']","['encer', 'dicoba', 'thanks']","['encer', 'coba', 'thanks']",encer coba thanks,"{'classified_text': 'encer coba thanks', 'tweet_text': ' encer coba thanks', 'sentence_score': ['encer coba thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
tipe kulitku sensitif tipe kulitku kering,tipe kulitku sensitif tipe kulitku kering,tipe kulitku sensitif tipe kulitku kering,"['tipe', 'kulitku', 'sensitif', 'tipe', 'kulitku', 'kering']","['tipe', 'kulitku', 'sensitif', 'tipe', 'kulitku', 'kering']","['tipe', 'kulit', 'sensitif', 'tipe', 'kulit', 'kering']",tipe kulit sensitif tipe kulit kering,"{'classified_text': 'tipe kulit sensitif [-2] tipe kulit kering', 'tweet_text': ' tipe kulit sensitif tipe kulit kering', 'sentence_score': ['tipe kulit sensitif [-2] tipe kulit kering'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}"
tipe kulitku sensitif,tipe kulitku sensitif,tipe kulitku sensitif,"['tipe', 'kulitku', 'sensitif']","['tipe', 'kulitku', 'sensitif']","['tipe', 'kulit', 'sensitif']",tipe kulit sensitif,"{'classified_text': 'tipe kulit sensitif [-2]', 'tweet_text': ' tipe kulit sensitif', 'sentence_score': ['tipe kulit sensitif [-2]'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}"
tipe kulitku berminyak masalah kulitku jerawat,tipe kulitku berminyak masalah kulitku jerawat,tipe kulitku berminyak masalah kulitku jerawat,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat']","['tipe', 'kulitku', 'berminyak', 'kulitku', 'jerawat']","['tipe', 'kulit', 'minyak', 'kulit', 'jerawat']",tipe kulit minyak kulit jerawat,"{'classified_text': 'tipe kulit minyak kulit jerawat', 'tweet_text': ' tipe kulit minyak kulit jerawat', 'sentence_score': ['tipe kulit minyak kulit jerawat'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
ori,ori,orisinal,['orisinal'],['orisinal'],['orisinal'],orisinal,"{'classified_text': 'orisinal', 'tweet_text': ' orisinal', 'sentence_score': ['orisinal'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
